Class,count of spam words,count of function words,count of HTML anchors,count of all tags,count of all tags not anchor,count of image tags,count of alphanumeric,count of duplicate words,min word length,count of lower case,longest capitalized word,count of lines,count of digits,count of whitespaces,count of uppercase chars,count of all chars,count of tabs,count of specials,count of alpha chars,count of words,average word lt,count of words whose lt is greater than 6,count of words whose lt is lesser than 3,count of single qoutes,count of commas,count of periods,count of semicolon,count of question marks,count of multiple question marks,count of exclamation,count of multiple exclamation,count of colons,count of ellipses,count of sentences,count of paras,avg number of sentences per para,avg no of words per para,avg no of chars per para,avg no of words per sentence,no of sentences beginning with caps,no of sentences beginning with lower,frequency of $,count of capitalized words,count of all caps,count of digit words,words with only letters,only single letter words,only single digit words,single chars,max ratio of uppercase letters to lowercase letters of each word.,Max of ratio of uppercase letters to all characters of each word,max ratio of digits to all chars in a word,Max of ratio of non-alphanumeric characters to all characters of each word,Max of the longest repeating character,Max of the character lengths of words,minimum char diversity
0,0,37,0,0,0,0,403,13,2,386,4,15,0,73,17,517,0,41,403,82,6.304878048780488,25,34,1,0,11,0,1,0,0,0,3,2,3,3,1.0,27.333333333333332,172.33333333333334,27.333333333333332,2,1,0,14,1,0,70,6,0,0,0.04404145077720207,6.894736842105263,0.0,0.2205029013539652,3,41,3.585365853658536
0,2,14,0,0,0,0,301,4,3,261,3,24,5,40,35,529,0,188,296,51,10.372549019607844,19,17,1,2,9,0,1,0,2,0,5,0,4,6,0.6666666666666666,8.5,88.16666666666667,12.75,3,0,0,16,0,1,30,0,1,4,0.13409961685823754,7.666666666666667,0.00945179584120983,0.43100189035916825,69,72,3.1666666666666665
0,0,115,0,0,0,0,1115,45,2,1040,4,34,16,235,59,1449,0,99,1099,253,5.7272727272727275,70,105,10,17,18,0,0,0,0,0,6,2,15,8,1.875,31.625,181.125,16.866666666666667,14,1,0,41,7,1,201,11,0,2,0.05673076923076923,18.473684210526315,0.011042097998619738,0.23050379572118704,3,41,8.951219512195122
0,0,121,0,0,0,0,1225,49,2,1140,4,42,16,275,69,1646,0,147,1208,297,5.542087542087542,77,137,10,17,23,0,1,0,1,0,8,2,18,5,3.6,59.4,329.2,16.5,10,2,0,47,9,1,214,12,0,26,0.06057945566286216,23.105263157894736,0.009720534629404616,0.25637910085054677,3,41,11.097560975609756
0,0,172,0,0,0,0,2494,181,2,1979,1,98,488,520,27,3511,0,497,2006,593,5.920741989881956,232,260,9,5,15,0,1,0,0,0,127,4,12,4,3.0,148.25,877.75,49.416666666666664,5,0,0,21,3,58,327,4,10,43,0.013643254168772108,19.0,0.13899174024494446,0.28966106522358304,47,56,19.0
0,2,31,0,0,0,0,683,34,3,581,13,53,14,170,88,1109,0,256,669,126,8.801587301587302,51,35,3,6,19,0,1,0,5,0,10,0,9,13,0.6923076923076923,9.692307692307692,85.3076923076923,14.0,7,1,0,52,3,2,79,0,1,0,0.1514629948364888,13.666666666666666,0.012623985572587917,0.3841298467087466,69,72,5.916666666666667
0,0,70,0,1,1,0,1010,13,3,791,12,57,79,298,140,1551,2,241,931,277,5.59927797833935,71,145,12,9,27,0,1,0,0,0,9,6,16,6,2.6666666666666665,46.166666666666664,258.5,17.3125,9,0,0,49,12,8,125,12,0,74,1.431656267976459,4.357142857142858,0.18936170212765957,1.1857142857142857,5,64,1.8125
0,1,54,0,0,0,0,699,8,2,650,4,36,11,134,38,941,0,108,688,154,6.1103896103896105,52,72,3,9,21,0,0,0,0,0,8,4,10,8,1.25,19.25,117.625,15.4,6,1,0,31,5,2,97,4,1,10,0.05846153846153846,13.631578947368421,0.011689691817215728,0.25717321997874604,4,41,6.7073170731707314
0,1,189,0,0,0,0,1865,31,2,1811,3,76,5,398,49,2438,0,175,1860,408,5.9754901960784315,118,157,9,21,19,0,3,0,0,0,3,16,17,14,1.2142857142857142,29.142857142857142,174.14285714285714,24.0,12,1,0,41,9,3,321,17,1,6,0.027056874654886803,16.2972972972973,0.002050861361771944,0.2350287120590648,33,37,16.2972972972973
0,0,211,0,0,0,0,2089,93,2,2040,3,62,2,431,47,2675,0,155,2087,447,5.984340044742729,133,188,5,28,29,0,2,0,1,0,2,10,22,15,1.4666666666666666,29.8,178.33333333333334,20.318181818181817,22,0,0,41,13,0,377,23,0,2,0.02303921568627451,11.666666666666666,0.0007476635514018691,0.21906542056074765,3,54,11.666666666666666
0,0,40,0,0,0,0,986,58,3,917,1,55,18,213,51,1443,0,244,968,158,9.132911392405063,93,21,2,4,4,0,0,0,1,0,2,38,3,5,0.6,31.6,288.6,52.666666666666664,2,0,16,7,0,1,77,0,0,0,0.05561613958560523,9.0,0.012474012474012475,0.3167013167013167,47,56,9.0
0,0,97,0,0,0,0,866,18,2,822,3,35,15,209,29,1166,0,91,851,218,5.348623853211009,57,105,5,10,10,1,1,0,0,0,3,4,6,6,1.0,36.333333333333336,194.33333333333334,36.333333333333336,4,0,0,24,11,0,169,10,0,11,0.03527980535279805,301.0,0.012864493996569469,0.25728987993138935,3,19,16.736842105263158
0,1,113,0,0,0,0,1215,41,2,1162,3,48,13,254,40,1646,2,175,1202,268,6.141791044776119,88,107,8,17,25,0,1,0,1,0,5,2,15,10,1.5,26.8,164.6,17.866666666666667,12,0,0,36,11,3,205,20,1,1,0.03442340791738382,8.814814814814815,0.007897934386391251,0.2618469015795869,47,54,8.814814814814815
0,1,128,0,0,0,0,1424,57,2,1357,3,68,13,332,54,2069,2,311,1411,354,5.844632768361582,99,169,8,20,32,0,2,0,1,0,6,2,17,6,2.8333333333333335,59.0,344.8333333333333,20.823529411764707,7,0,0,48,14,3,234,22,1,47,0.0397936624907885,12.777777777777779,0.006283228612856452,0.31174480425326245,47,54,12.777777777777779
0,2,90,0,0,0,0,993,22,2,917,3,34,13,212,63,1300,0,95,980,227,5.726872246696035,68,96,7,10,18,0,2,0,0,0,3,6,15,3,5.0,75.66666666666667,433.3333333333333,15.133333333333333,15,0,0,49,12,0,174,16,0,4,0.06870229007633588,17.05263157894737,0.01,0.23615384615384616,3,41,8.292682926829269
0,0,107,0,0,0,0,1409,61,2,1342,1,58,11,493,56,2143,0,241,1398,277,7.736462093862816,113,88,3,7,17,0,0,0,0,0,2,30,9,6,1.5,46.166666666666664,357.1666666666667,30.77777777777778,6,1,17,16,9,0,184,11,0,2,0.041728763040238454,13.946428571428571,0.005132991133924405,0.3425104993000467,47,56,13.946428571428571
0,0,59,0,0,0,0,582,2,2,542,3,31,12,124,28,834,2,126,570,134,6.223880597014926,35,58,7,7,6,0,1,0,1,0,6,2,6,6,1.0,22.333333333333332,139.0,22.333333333333332,5,0,0,22,5,2,97,6,0,0,0.05166051660516605,5.5,0.014388489208633094,0.302158273381295,47,54,5.361702127659575
0,1,22,0,0,0,0,261,2,3,253,1,14,0,50,8,342,0,31,261,56,6.107142857142857,19,22,3,1,3,0,1,0,0,0,2,0,4,4,1.0,14.0,85.5,14.0,3,0,0,7,1,0,44,4,0,3,0.03162055335968379,3.0,0.0,0.23684210526315788,4,37,3.0
0,0,17,0,0,0,0,252,0,2,231,3,12,6,46,15,335,0,37,246,52,6.4423076923076925,21,19,3,2,4,0,1,0,0,0,2,2,4,4,1.0,13.0,83.75,13.0,3,0,0,11,3,1,36,2,0,0,0.06493506493506493,3.0540540540540544,0.01791044776119403,0.24776119402985075,3,37,3.0540540540540544
0,1,36,0,0,0,0,388,6,2,370,3,23,0,87,18,544,0,69,388,101,5.3861386138613865,27,50,6,4,6,1,2,0,0,0,3,1,7,4,1.75,25.25,136.0,14.428571428571429,4,0,0,15,3,0,66,4,0,12,0.04864864864864865,5.027027027027026,0.0,0.2867647058823529,3,37,5.027027027027026
0,2,184,0,1,1,0,2062,91,2,1917,5,75,40,487,105,2907,0,358,2022,549,5.295081967213115,148,275,13,24,49,1,3,0,0,0,16,21,25,5,5.0,109.8,581.4,21.96,16,0,0,82,32,3,334,32,1,68,0.054773082942097026,45.368421052631575,0.013759889920880633,0.2906776745786034,3,41,21.414634146341463
0,0,223,0,0,0,0,2148,52,2,2043,2,81,26,463,79,2873,0,262,2122,509,5.644400785854617,143,224,19,22,37,1,4,0,0,0,10,4,23,14,1.6428571428571428,36.357142857142854,205.21428571428572,22.130434782608695,13,1,2,72,10,3,382,14,1,25,0.03866862457170827,20.405405405405403,0.00904977375565611,0.2523494604942569,14,37,20.405405405405403
0,0,29,0,0,0,0,283,2,2,279,1,11,0,57,4,368,0,28,283,59,6.237288135593221,19,25,1,3,4,0,0,0,0,0,2,1,3,3,1.0,19.666666666666668,122.66666666666667,19.666666666666668,3,0,0,4,0,0,49,3,0,0,0.014336917562724014,3.1081081081081083,0.0,0.23097826086956522,2,37,3.1081081081081083
0,0,31,0,1,1,0,588,8,3,387,12,37,78,143,123,856,2,123,510,116,7.379310344827586,40,48,3,3,18,0,0,0,2,0,9,4,6,7,0.8571428571428571,16.571428571428573,122.28571428571429,19.333333333333332,3,0,0,35,10,8,60,3,0,8,1.4025573192239857,4.357142857142858,0.2314043923664645,1.1382053654024051,5,64,1.8125
0,1,44,0,0,0,0,600,7,2,548,5,21,12,96,40,918,0,222,588,111,8.27027027027027,46,37,9,10,11,0,0,0,0,0,3,2,6,5,1.2,22.2,183.6,18.5,4,0,0,31,3,0,85,3,0,0,0.072992700729927,9.405405405405405,0.013071895424836602,0.3464052287581699,78,78,4.076923076923077
0,0,16,0,0,0,0,250,2,4,222,1,19,16,34,12,354,0,70,234,44,8.045454545454545,15,15,0,2,8,0,0,0,0,0,1,0,4,6,0.6666666666666666,7.333333333333333,59.0,11.0,4,0,0,11,3,1,33,4,0,0,0.05405405405405406,4.666666666666666,0.04519774011299435,0.2937853107344633,35,38,2.9714285714285715
0,0,47,0,1,1,0,658,14,2,581,4,38,34,146,43,979,0,175,624,139,7.043165467625899,52,52,4,5,16,1,1,0,2,0,7,4,10,11,0.9090909090909091,12.636363636363637,89.0,13.9,7,0,0,34,4,3,82,5,0,0,0.07401032702237521,6.571428571428571,0.03472931562819203,0.32788559754851887,47,56,6.571428571428571
0,0,5,0,0,0,0,204,6,2,187,1,16,5,28,12,279,0,47,199,35,7.9714285714285715,15,14,1,0,13,0,0,0,0,0,4,4,4,5,0.8,7.0,55.8,8.75,3,0,0,11,2,1,16,0,1,0,0.06417112299465241,4.842105263157895,0.017921146953405017,0.26881720430107525,3,41,2.6341463414634148
0,0,36,0,0,0,0,587,4,2,560,1,30,5,83,22,746,0,76,582,95,7.852631578947369,34,41,0,5,15,0,0,0,1,0,3,2,8,11,0.7272727272727273,8.636363636363637,67.81818181818181,11.875,7,1,0,20,7,0,77,6,0,0,0.039285714285714285,3.7592592592592595,0.006702412868632708,0.2131367292225201,3,61,3.442622950819672
0,0,53,0,2,2,0,1014,33,3,733,13,55,111,273,170,1515,2,226,903,230,6.586956521739131,78,100,6,8,24,1,1,0,2,0,15,6,13,6,2.1666666666666665,38.333333333333336,252.5,17.692307692307693,7,0,0,63,12,11,109,6,0,29,1.9182910700937266,4.428571428571429,0.22220744680851062,1.151063829787234,5,64,1.8125
0,0,57,0,2,2,0,655,19,2,598,4,34,11,129,46,925,0,141,644,148,6.25,45,64,3,1,24,0,1,0,1,0,5,6,10,8,1.25,18.5,115.625,14.8,8,0,0,37,5,4,107,1,3,5,0.07692307692307693,15.105263157894738,0.011891891891891892,0.2918918918918919,50,50,5.4
0,1,200,0,0,0,0,2204,64,2,2045,2,64,54,409,105,2792,0,179,2150,451,6.1906873614190685,148,147,9,29,28,0,0,0,0,0,11,2,17,12,1.4166666666666667,37.583333333333336,232.66666666666666,26.529411764705884,14,0,0,96,6,5,364,8,0,3,0.05134474327628362,16.7027027027027,0.019340974212034383,0.21060171919770773,3,65,9.830769230769231
0,2,113,0,0,0,0,1496,54,2,1381,4,63,25,272,90,1957,0,189,1471,317,6.173501577287066,102,119,8,10,36,0,4,0,1,0,12,10,19,12,1.5833333333333333,26.416666666666668,163.08333333333334,16.68421052631579,16,3,0,69,14,2,231,18,0,5,0.06517016654598118,25.157894736842106,0.012774655084312723,0.23556463975472663,5,41,12.048780487804878
0,0,97,0,0,0,0,1088,14,2,1001,3,45,34,209,53,1546,0,249,1054,235,6.578723404255319,75,84,10,9,21,0,5,0,0,0,5,6,14,7,2.0,33.57142857142857,220.85714285714286,16.785714285714285,4,6,0,22,8,1,160,7,0,15,0.052947052947052944,11.97560975609756,0.02199223803363519,0.296248382923674,47,48,9.541666666666666
0,0,55,0,0,0,0,418,7,3,412,2,19,0,92,6,553,0,43,418,95,5.821052631578947,19,41,5,4,6,0,0,0,0,0,1,2,6,3,2.0,31.666666666666668,184.33333333333334,15.833333333333334,3,2,0,5,2,0,77,3,0,0,0.014563106796116505,4.45945945945946,0.0,0.244122965641953,7,37,4.45945945945946
0,0,68,0,0,0,0,826,19,2,783,1,32,0,150,43,1078,0,102,826,168,6.416666666666667,59,57,5,12,13,1,3,1,0,0,6,0,10,6,1.6666666666666667,28.0,179.66666666666666,16.8,6,0,0,34,4,0,120,6,0,2,0.05491698595146871,7.621621621621621,0.0,0.23376623376623376,3,38,7.394736842105264
0,0,42,0,0,0,0,378,2,3,365,3,17,0,70,13,558,0,110,378,80,6.975,24,33,3,4,7,0,0,0,0,0,4,0,5,4,1.25,20.0,139.5,16.0,4,0,0,8,2,0,61,2,0,0,0.03561643835616438,5.675675675675675,0.0,0.3225806451612903,65,65,2.769230769230769
0,0,21,0,0,0,0,267,0,3,248,1,10,9,49,10,349,0,33,258,54,6.462962962962963,20,22,3,3,3,0,1,0,0,0,4,0,4,3,1.3333333333333333,18.0,116.33333333333333,13.5,3,1,0,9,2,2,37,2,0,3,0.04032258064516129,3.027027027027027,0.025787965616045846,0.2349570200573066,2,37,3.027027027027027
0,0,38,0,0,0,0,451,2,3,423,4,23,6,84,22,599,0,64,445,97,6.175257731958763,31,34,3,10,7,0,0,0,0,0,3,2,4,7,0.5714285714285714,13.857142857142858,85.57142857142857,24.25,2,0,0,15,5,1,71,5,0,0,0.05200945626477541,4.8108108108108105,0.01001669449081803,0.24707846410684475,3,37,4.8108108108108105
0,0,14,0,1,1,0,287,0,3,238,2,21,31,68,18,463,0,108,256,49,9.448979591836734,18,17,2,2,10,0,0,0,0,0,6,4,2,6,0.3333333333333333,8.166666666666666,77.16666666666667,24.5,0,1,0,12,1,2,28,1,0,1,0.07563025210084033,3.982142857142857,0.06695464362850972,0.3801295896328294,47,56,3.74468085106383
0,2,89,0,0,0,0,1707,93,2,1397,3,107,145,386,165,2357,0,264,1562,331,7.120845921450151,139,104,6,1,28,0,1,0,0,0,6,4,14,17,0.8235294117647058,19.470588235294116,138.64705882352942,23.642857142857142,10,1,0,86,7,27,212,8,3,8,0.11811023622047244,35.10526315789473,0.0615188799321171,0.27577428935086973,8,41,16.658536585365855
0,2,55,0,0,0,0,761,13,2,687,5,31,22,138,52,1167,0,268,739,162,7.203703703703703,58,70,9,16,13,0,0,0,0,0,6,2,7,5,1.4,32.4,233.4,23.142857142857142,4,0,0,42,4,0,106,3,0,20,0.07569141193595343,11.783783783783784,0.018851756640959727,0.34790059982862037,78,78,5.205128205128205
0,0,71,0,0,0,0,659,6,2,633,4,24,0,130,26,868,0,79,659,146,5.945205479452055,40,56,5,9,7,0,2,0,0,0,3,0,6,4,1.5,36.5,217.0,24.333333333333332,5,0,0,17,10,0,114,8,0,1,0.04107424960505529,6.459459459459459,0.0,0.24078341013824886,3,37,6.459459459459459
0,0,14,0,0,0,0,172,0,2,162,1,11,0,27,10,223,0,24,172,34,6.5588235294117645,12,11,1,1,3,0,0,0,0,0,2,0,3,3,1.0,11.333333333333334,74.33333333333333,11.333333333333334,3,0,0,9,4,0,26,3,0,0,0.06172839506172839,2.189189189189189,0.0,0.22869955156950672,2,37,2.189189189189189
0,1,10,0,0,0,0,84,0,3,76,1,6,3,23,5,122,0,15,81,24,5.083333333333333,4,11,3,0,3,1,0,0,0,0,0,1,3,2,1.5,12.0,61.0,8.0,2,0,0,5,2,0,16,2,0,1,0.06578947368421052,13.666666666666666,0.02459016393442623,0.3114754098360656,2,8,5.625
0,3,170,0,1,1,0,1805,82,3,1680,5,63,26,469,99,2518,0,244,1779,419,6.009546539379475,131,174,7,12,32,2,2,0,2,0,8,9,17,10,1.7,41.9,251.8,24.647058823529413,13,2,0,63,17,6,322,13,1,22,0.05892857142857143,14.538461538461538,0.010325655281969817,0.28316123907863383,47,52,14.538461538461538
0,0,71,0,0,0,0,805,37,2,763,4,38,5,152,37,1086,0,129,800,179,6.067039106145251,47,80,8,5,34,0,1,0,0,0,6,4,10,7,1.4285714285714286,25.571428571428573,155.14285714285714,17.9,7,0,0,26,8,1,125,8,1,14,0.04849279161205767,15.68421052631579,0.004604051565377533,0.2587476979742173,8,41,7.658536585365853
0,1,63,0,2,2,0,863,15,2,823,1,26,0,176,40,1127,0,88,863,166,6.789156626506024,70,58,7,5,16,0,1,0,0,0,3,4,11,5,2.2,33.2,225.4,15.090909090909092,8,0,0,34,6,0,123,5,0,1,0.04860267314702309,33.875,0.0,0.23425022182786157,5,27,10.62962962962963
0,0,36,0,0,0,0,398,4,2,345,5,22,12,83,41,543,0,62,386,92,5.9021739130434785,25,45,2,6,17,0,0,0,0,0,3,0,4,6,0.6666666666666666,15.333333333333334,90.5,23.0,4,0,0,30,7,0,70,6,0,5,0.11884057971014493,14.9,0.022099447513812154,0.26703499079189685,3,50,3.6799999999999997
0,1,400,0,1,1,0,3418,138,2,3266,5,100,34,758,118,4584,0,408,3384,801,5.722846441947565,234,353,22,36,40,1,0,0,0,0,10,15,29,19,1.5263157894736843,42.1578947368421,241.26315789473685,27.620689655172413,23,1,1,89,23,7,629,27,2,34,0.036129822412737295,19.661290322580644,0.007417102966841187,0.2543630017452007,55,62,19.661290322580644
0,0,14,0,0,0,0,246,0,3,234,1,13,3,36,9,317,0,35,243,43,7.372093023255814,16,17,2,0,5,0,2,1,0,0,3,2,3,3,1.0,14.333333333333334,105.66666666666667,14.333333333333334,3,0,0,9,0,0,32,3,0,0,0.038461538461538464,4.631578947368421,0.00946372239747634,0.22397476340694006,3,41,2.5365853658536586
0,0,40,0,0,0,0,949,19,2,638,11,46,57,97,254,1196,0,150,892,132,9.06060606060606,48,55,2,3,12,0,2,1,0,0,7,4,4,7,0.5714285714285714,18.857142857142858,170.85714285714286,33.0,1,0,2,31,11,0,78,4,0,12,0.3981191222570533,13.894736842105264,0.047658862876254184,0.20652173913043478,5,64,4.8125
0,0,40,0,0,0,0,634,6,2,560,2,28,50,128,24,885,17,106,584,134,6.604477611940299,42,62,3,6,11,0,0,0,0,0,7,4,5,4,1.25,33.5,221.25,26.8,4,0,0,17,3,3,83,5,1,13,0.04285714285714286,14.105263157894738,0.05649717514124294,0.28361581920903955,15,41,6.926829268292683
0,0,48,0,0,0,0,519,15,2,495,3,22,7,101,17,721,0,101,512,114,6.324561403508772,36,47,1,1,56,0,1,0,0,0,3,8,5,5,1.0,22.8,144.2,22.8,4,0,0,15,6,3,88,8,3,1,0.03434343434343434,11.526315789473685,0.009708737864077669,0.2801664355062413,36,42,4.9523809523809526
